                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6681,                 3.7668,                 1.7995,                0.00333,                      1,                0.54844,                0.28989,                0.92719,                   3.51,                  1.266,                0.00016,                0.00016,                0.00016
                      2,                 0.7724,                 2.0172,                 1.0853,                0.96278,                0.57056,                0.90053,                0.67863,                0.84874,                 2.6623,                 1.0578,             0.00033663,             0.00033663,             0.00033663
                      3,                0.61674,                 1.3534,                0.95367,                      1,                0.49128,                0.95384,                0.75783,                0.72884,                 2.5398,                 0.9994,              0.0005097,              0.0005097,              0.0005097
                      4,                0.55925,                 1.0938,                0.91153,                      1,                0.67397,                 0.9802,                0.85179,                0.54483,                 2.2634,                0.89702,             0.00067921,             0.00067921,             0.00067921
                      5,                0.60625,                 1.0438,                 0.9341,                      1,                0.74487,                0.99145,                0.87487,                0.49819,                 2.3282,                0.87803,             0.00084515,             0.00084515,             0.00084515
                      6,                0.57528,                0.98474,                0.91217,                0.96849,                0.90399,                0.98424,                0.86026,                0.52511,                 2.0739,                0.89466,              0.0010075,              0.0010075,              0.0010075
                      7,                0.55133,                0.93123,                0.91197,                0.93964,                0.89706,                0.97456,                0.86933,                0.46621,                 1.9481,                0.84519,              0.0011663,              0.0011663,              0.0011663
                      8,                0.52495,                0.90244,                 0.8929,                0.98485,                0.95567,                0.99112,                0.91623,                0.41086,                 1.4752,                0.83376,              0.0013216,              0.0013216,              0.0013216
                      9,                0.56058,                 0.9687,                0.93545,                      1,                  0.903,                0.98608,                0.86362,                0.51849,                 1.8077,                0.88063,              0.0014733,              0.0014733,              0.0014733
                     10,                0.53681,                0.84895,                0.91364,                0.97643,                  0.914,                0.98484,                0.87005,                0.49152,                 1.3334,                0.87607,              0.0016214,              0.0016214,              0.0016214
                     11,                0.48706,                0.80918,                0.89463,                0.90187,                 0.9461,                0.97076,                0.83588,                0.52142,                 1.1684,                0.88547,               0.001766,               0.001766,               0.001766
                     12,                0.49873,                0.79254,                0.90628,                0.97697,                0.93568,                0.99165,                0.87803,                0.49678,                0.98586,                0.85932,              0.0017822,              0.0017822,              0.0017822
                     13,                0.49574,                0.71743,                0.87854,                0.98271,                      1,                0.99478,                0.86319,                0.55232,                0.89097,                0.89944,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.5031,                0.72598,                0.87671,                0.98841,                0.99265,                0.99485,                0.88532,                0.51741,                0.93713,                0.87641,              0.0017426,              0.0017426,              0.0017426
                     15,                0.51983,                0.70266,                0.92236,                0.99835,                0.99265,                  0.995,                 0.9186,                0.39586,                0.75588,                0.83286,              0.0017228,              0.0017228,              0.0017228
                     16,                0.51897,                0.67979,                0.89826,                0.99876,                0.99265,                  0.995,                0.90885,                0.42177,                0.79785,                0.83217,               0.001703,               0.001703,               0.001703
                     17,                0.48344,                0.65562,                0.89418,                0.99188,                0.99265,                0.99463,                0.89083,                0.46489,                0.71574,                0.84261,              0.0016832,              0.0016832,              0.0016832
                     18,                0.47029,                0.59905,                0.88583,                      1,                 0.9992,                  0.995,                0.92518,                0.39393,                0.66133,                0.82097,              0.0016634,              0.0016634,              0.0016634
                     19,                0.44963,                0.59807,                0.86614,                0.99956,                      1,                  0.995,                0.91993,                 0.3893,                0.64259,                0.81827,              0.0016436,              0.0016436,              0.0016436
                     20,                0.45882,                0.58721,                0.87399,                0.99107,                      1,                0.99493,                0.92096,                0.37568,                 0.6603,                0.81747,              0.0016238,              0.0016238,              0.0016238
                     21,                0.42304,                 0.5568,                0.87758,                0.99948,                      1,                  0.995,                0.94571,                0.34626,                0.59206,                0.81139,               0.001604,               0.001604,               0.001604
                     22,                0.43172,                0.53337,                0.86216,                0.99936,                      1,                  0.995,                0.93272,                0.37269,                0.55835,                0.80923,              0.0015842,              0.0015842,              0.0015842
                     23,                0.41313,                0.51828,                0.86115,                      1,                0.99882,                  0.995,                 0.9272,                0.37463,                0.51793,                0.81194,              0.0015644,              0.0015644,              0.0015644
                     24,                0.42014,                0.49842,                0.87427,                 0.9927,                 0.9995,                  0.995,                0.93481,                0.36131,                0.52029,                0.81552,              0.0015446,              0.0015446,              0.0015446
                     25,                0.41044,                0.49448,                0.87633,                      1,                0.99967,                  0.995,                0.94581,                0.34751,                0.48597,                0.80765,              0.0015248,              0.0015248,              0.0015248
                     26,                0.45723,                0.48877,                0.87962,                0.99943,                      1,                  0.995,                  0.924,                0.39563,                0.46826,                0.81865,               0.001505,               0.001505,               0.001505
                     27,                0.42122,                0.47017,                0.88014,                0.99943,                      1,                  0.995,                0.94616,                0.33176,                0.44922,                0.80254,              0.0014852,              0.0014852,              0.0014852
                     28,                0.42542,                0.45888,                0.87685,                 0.9994,                      1,                  0.995,                0.91877,                0.37045,                0.43536,                0.81644,              0.0014654,              0.0014654,              0.0014654
                     29,                0.41163,                0.46197,                0.86768,                0.99917,                      1,                  0.995,                 0.9305,                0.35432,                 0.4397,                0.80953,              0.0014456,              0.0014456,              0.0014456
                     30,                0.38785,                0.43775,                0.85214,                0.99911,                      1,                  0.995,                0.93906,                0.36767,                0.43411,                0.81369,              0.0014258,              0.0014258,              0.0014258
                     31,                0.38907,                0.44586,                0.87176,                0.99489,                0.98529,                0.99493,                0.93403,                0.36703,                 0.4763,                0.81948,               0.001406,               0.001406,               0.001406
                     32,                0.41121,                0.45858,                0.88305,                0.99878,                0.99265,                  0.995,                0.92769,                0.40136,                0.54073,                 0.8297,              0.0013862,              0.0013862,              0.0013862
